Name, era-adjusted batting average, era-adjusted bowling average, role in team, debut year, final year, batting SR modifier, bowling ER modifier, number of games captained.

['The Duckworth-Prof Method','Adelaide Oval']
['AR Border', 49.39, 55.44, 'PartSpin', 1979, 1994, 1, 0.8329798100259815, 93, ]
['CL Walcott', 56.7, 57.58, 'WK', 1948, 1960, 1, 0.9193951821889718, 0, ]
['IR Bishop', 12.23, 26.17, 'Fast', 1989, 1998, 0.7251864601262191, 1.0144792759280687, 0, ]
["WJ O'Reilly", 11.58, 22.59, 'Spin', 1932, 1946, 1, 0.8, 0, ]
['Waqar Younis', 10.37, 23.94, 'Fast', 1989, 2003, 0.9591642924976258, 1.1775362318840579, 17, ]
['AA Donald', 10.84, 22.58, 'Fast', 1992, 2002, 0.7025862068965517, 1.0176911132867306, 0, ]

['West Ham Paul','Sydney Cricket Ground']
['DL Haynes', 41.32, 100, 'OpenBat', 1978, 1994, 1, 0.9732360097323599, 4, ]
['MA Taylor', 43.76, 100, 'OpenBat', 1989, 1999, 0.8296582138919515, 1.2, 50, ]
['CA Pujara', 45.64, 100, 'Bat', 2010, 2020, 0.9237583043340715, 0.8, 0, ]
['PA de Silva', 43.38, 48.75, 'PartSpin', 1984, 2002, 1, 1.015659485023647, 6, ]
['MJ Clarke', 45.32, 54.37, 'Bat', 2004, 2015, 1.1184006211180124, 0.9232448730278376, 47, ]
['KD Walters', 47.66, 49.75, 'PartMed', 1965, 1981, 1, 1.0463067208380243, 0, ]
['MV Boucher', 28.6, 100, 'WK', 1997, 2012, 1.0022716946842345, 1.2, 4, ]
['SM Pollock', 31.28, 22.38, 'Fast', 1995, 2008, 1.0505696026674076, 0.8019999046905829, 26, ]
['SK Warne', 17.12, 25.11, 'Spin', 1992, 2007, 1.1531992687385741, 0.9083903057919243, 0, ]
['SCJ Broad', 17.3, 26.42, 'Fast', 2007, 2020, 1.2944970772021769, 0.9439592332313885, 0, ]
['K Rabada', 10.83, 23.77, 'Fast', 2015, 2020, 0.9181818181818182, 1.2, 0, ]

['Kloppage Time','Lord's']
['ML Hayden', 49.11, 54.56, 'OpenBat', 1994, 2009, 1.2021743675517458, 1.2, 0, ]
['Saeed Anwar', 46.27, 100, 'OpenBat', 1990, 2001, 1.1154852030282174, 1.0416666666666667, 7, ]
['M Labuschagne', 47.79, 49.56, 'PartSpin', 2018, 2020, 1.1305695466873305, 1.2, 0, ]
['SR Tendulkar', 52.49, 72.29, 'Bat', 1989, 2013, 1, 1.191356450790413, 25, ]
['Misbah-ul-Haq', 42.78, 100, 'Bat', 2001, 2017, 0.8906703053044517, 1.2, 56, ]
['A Flower', 52.3, 100, 'WK', 1992, 2002, 0.9014667168108311, 1.2, 20, ]
['KR Miller', 37.73, 23.45, 'Fast', 1946, 1956, 1, 0.9825970144748163, 0, ]
['JN Gillespie', 18.29, 25.51, 'Fast', 1996, 2006, 0.6393700787401575, 0.9640981433871697, 0, ]
['PJ Cummins', 16.13, 24.11, 'Fast', 2011, 2020, 0.7702380952380953, 0.8934543945112147, 0, ]
['Saqlain Mushtaq', 14.31, 29.47, 'Spin', 1995, 2004, 0.514571190674438, 0.906329409702953, 0, ]
['RGD Willis', 11.45, 25.07, 'Fast', 1971, 1984, 0.6526806526806527, 1.0805856536751566, 18, ]

['Samie','Eden Gardens']
['AJ Strauss', 37.56, 100, 'OpenBat', 2004, 2012, 0.978380257212374, 1.2, 50, ]
['ST Jayasuriya', 39.7, 37.98, 'OpenPartSpin', 1991, 2007, 1, 0.8564362481680509, 38, ]
['IVA Richards', 50.54, 68.97, 'PartSpin', 1974, 1991, 1, 0.8568810808452465, 50, ]
['SPD Smith', 58.93, 60.84, 'Bat', 2010, 2020, 1.106060606060606, 1.2, 34, ]
['SC Ganguly', 40.83, 57.62, 'PartMed', 1996, 2008, 1.0251599147121535, 1.0822085810578088, 49, ]
['Shakib Al Hasan', 36.57, 28.89, 'Spin', 2007, 2019, 1.2410025706940875, 0.9624416601640141, 14, ]
['PJL Dujon', 31.2, 100, 'WK', 1981, 1991, 1, 1.2, 0, ]
['Harbhajan Singh', 16.81, 29.94, 'Spin', 1998, 2015, 1.2960372960372961, 0.9050692435581428, 0, ]
